id;code;description;location;tag
1;1380338;5881 фон.рир.проекции;ТВ студия;баланс
2;26627;DVD- рекордер Sony RDR-GX310;Склад;баланс
3;1380432;DVD-рекордер;Склад;баланс
4;1380331;FM-Процессор;ТРПЦ;баланс
5;1380882;FM-Процессор CRL Amigo FM;ТРПЦ;баланс
6;34402201200008;HDD 750 GB Seagate SATA-II ST3750330AS (7200rpm) 32Mb NCQ;То шкаф слева;баланс
7;35203201300001;Автомобиль LADA  213100 Белый;ТРК;баланс
8;9395047;Автомобиль LADA 213100;ТРК;баланс
9;34405201200006;Алми  транспортировочный кофр Z1/FX1;Опер;баланс
10;34405201200005;Алми Beta S, транспортировочный кофр;Склад;баланс
11;1380080;Антено-фидерное устройство;ТРПЦ;баланс
12;1380138;Аудиодека;Склад;баланс
13;1380199;Аудиомикшер;Склад;баланс
14;1380200;Аудиомикшер;Склад;баланс
15;24204201200001;Аудиомикшер Mackie MS-1402VLZ;Склад;баланс
16;1380140;Аудиомикшерский пульт;Склад;баланс
17;34502201700003;Беспроводная система Sennhaeiser;Опер2;баланс
18;1380607;Блок питания ИБП;Тв-студия;баланс
19;1380229;Видеокамера;Склад;баланс
20;1380259;Видеокамера;То стеллаж;баланс
21;1380307;Видеокамера;То стеллаж;баланс
22;1380314;Видеокамера;Склад;баланс
23;34203202100007;Видеокамера Canon XA-45;ТВ студия;баланс
24;34504201500003;Видеокамера DVCAM Sony DSR-400PK;Склад;баланс
25;34403202100006;Видеокамера Panasonic HC-X1;Опер2;баланс
26;1380884-1;Видеокамера Soni;Склад;баланс
27;1380293;Видеокамера Sony DSR 170PD;Склад;баланс
28;24504201500001;Видеокамера Sony DSR-400PL;Склад;баланс
29;24404201200005;Видеокамера Sony HVR-S270P;Склад;баланс
30;34403202100001;Видеокамера Sony HXR-NX100 в комплекте с плечевым упором;Опер2;баланс
31;34403202100002;Видеокамера Sony HXR-NX100 в комплекте с плечевым упором;Опер;баланс
32;24504201400001;Видеокамера Sony PMW-200;Опер;баланс
33;34503202300001;Видеокамера Sony PXW-Z190 в комплекте 1 шт.(жилет Оператора Алми АЛЬФА-N размер 52 бежевый 1 шт., накамерный свет Luxmen X6 LED Pro 1шт.);Опер2;баланс
34;1380683-1;Видеокарта;Газета 6;баланс
35;1380435;Видеокарта SYGA;То комп №42;баланс
36;1380231;Видеомагнитофон;Опер2;баланс
37;1380251;Видеомагнитофон;То стеллаж;баланс
38;1380265;Видеомагнитофон;Склад;баланс
39;1380308;Видеомагнитофон;Склад;баланс
40;1380310;Видеомагнитофон;Склад;баланс
41;1380427;Видеомагнитофон;То тумба слева;баланс
42;1380879;Видеомагнитофон DSR;Склад;баланс
43;34204201800001;Видеомагнитофон DVCAM DSR-20;Опер2;баланс
44;1380883;Видеомагнитофон Soni DSR-45;Склад;баланс
45;34404201200003;Видеомагнитофон Sony HVR-M15AP;Опер2;баланс
46;34404201200004;Видеомагнитофон Sony HVR-M15AЕ;Склад;баланс
47;1380134;Видеомикшер;Склад;баланс
48;1380135;Видеомикшер;СПИСАН 2022;баланс
49;1380323;Видеомикшер;Тв-студия;баланс
50;1380690;Видеомикшер;То;баланс
51;1380880;Видеомонитор Logovision FM3-6R;Склад;баланс
52;1380187;Видеоплата;Склад;баланс
53;1380551;Видеоплата;То шкаф;баланс
54;1380612;Видеоплата;Склад №39 комп;баланс
55;1380614;Видеоплата;Склад комп BKP;баланс
56;24404201300001;"Видеоплата ""Forward TA""  с внешней активной коммутационной панелью";ТРПЦ;баланс
57;9395054;Винчестер 1000 GB Seagate;Газета 6 №1380771комп;баланс
58;34402201200002;Винчестер 1000 GB WD WD10EADS (5400rpm) 32Mb;Опер2 TV-sborka;баланс
59;26656;Винчестер 500 GB  Samsung SATA II, 7200, 16 Mb;То №32 комп Tr-ing;баланс
60;26705;Винчестер 500 GB Seagate ST3500320AS SATAII.32MB;СПИСАН 2022;баланс
61;26631;Внешняя вспышка Nikon SB-600, i-TTL, для фотокамер;Газета у фотографа;баланс
62;1380693;Головка штативная;Тв-студия;баланс
63;1380816;Диктофон;То шкаф слева;баланс
64;1380443;Диктофон DM-20;То шкаф слева;баланс
65;1380444;Диктофон DM-20;То шкаф слева;баланс
66;34504201400003;Диктофон цифровой Sony ICD-TX50;ИТ отдел Посохова;баланс
67;34504201400004;Диктофон цифровой Sony ICD-TX50;То шкаф слева;баланс
68;34204201400001;Диктофон цифровой Zoom H1;Газета Кононыхина О.;баланс
69;34502201700002;Диктофон цифровой Zoom H1;То шкаф;баланс
70;34502201700005;Диктофон цифровой Zoom H1;ИТ отдел;баланс
71;34502201700004;Диктофон цифровой Zoom H1;То шкаф слева;баланс
72;1380405;Дин. обработка DBX;ТРПЦ;баланс
73;36200202200002;Дождевик Sony HXR NX100;Опер2;баланс
74;1380525;Жесткий диск;Склад;баланс
75;1380535;Жесткий диск;То шкаф для архива;баланс
76;1380606;Жесткий диск;Склад в Архиве;баланс
77;1380611;Жесткий диск;То в шкафу;баланс
78;1380410;Жесткий диск 160;Склад №28 Server;баланс
79;1380539;Жесткий диск HDD;Тв-редакторы №17 комп;баланс
80;1380543;Жесткий диск HDD;Склад комп №40;баланс
81;1700055;Жесткий диск HDD 500 GB WD SATA-II 500Gb;Газета 2 №9 комп;баланс
82;1380411;Жесткий диск HDD250;То №5 комп;баланс
83;1380412;Жесткий диск НDD250;Склад №28 Server;баланс
84;1380524;Зарядное устройство CL-101;Опер2;баланс
85;1380892;Зарядное устройство IDX;Опер2;баланс
86;1380139;Звуковой микшер;Склад;баланс
87;12408201500001;Здание гаража № 5;Дорога на комбинат;баланс
88;12408201400001;Здание гаража № 6;Дорога на комбинат;баланс
89;1630287-1;Здание ТРПЦ;Троицкая 3;баланс
90;1380622;ИБП;Склад;баланс
